Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2228,12678,12678,69898,54016,0.79,10018,71811,60496,0.17,2216,690,-136,12678,72624,56506,12678,2609,895,0.09,1184,85752,28433,0.09,1117,62458,12462,0.78,9922,21811,13739,13688,164612,67052
2229,19321,19321,82913,57881,0.78,15064,77961,62610,0.19,3737,1556,-103,19321,86005,60417,19321,3046,978,0.09,1725,91811,31200,0.08,1634,57747,13746,0.79,15213,28609,15543,21156,209737,84584
2230,20759,20759,86610,59521,0.78,16102,78606,62854,0.21,4402,2913,667,20759,90237,62768,20759,3448,1085,0.10,2092,99486,30736,0.10,1981,68154,13278,0.80,16676,29908,15693,23170,257459,84229
2231,1425,1425,64391,50000,0.82,1169,65767,55507,0.20,282,1360,25,1425,66942,52193,1425,2419,923,0.10,149,68200,35000,0.10,141,48300,16176,0.79,1119,18809,12176,1668,141315,69417
2232,21501,21501,70181,57523,0.82,17723,73920,64860,0.16,3419,-244,-410,21501,72808,60023,21501,2591,978,0.09,1847,87181,27447,0.08,1738,66005,11534,0.80,17179,21136,14531,24228,162727,77981
2233,18402,18402,67262,56367,0.83,15278,71672,63308,0.16,2887,-472,-941,18402,69807,58510,18402,2535,1058,0.07,1370,81059,31929,0.07,1319,55993,12916,0.79,14613,19794,14447,20723,169956,96633
2234,20203,20203,73600,57146,0.82,16496,74313,62444,0.21,4324,282,-234,20203,76586,59836,20203,2944,975,0.08,1586,85109,33226,0.07,1501,58419,14733,0.80,16070,23307,14749,22299,199473,92409
2250,40582,40582,59811,47732,0.80,32323,61136,52959,0.12,4912,1531,239,40582,62180,49720,40582,2296,661,0.09,3681,97949,31232,0.09,3527,73735,13869,0.76,30769,17424,10950,45356,135158,56414
2251,19473,19473,62047,46875,0.76,14771,64141,52657,0.15,2980,1940,616,19473,64883,49142,19473,2792,749,0.10,2028,88242,35427,0.10,1931,60438,14078,0.75,14526,19006,11450,21687,166423,72435
2256,8562,8562,57082,44904,0.76,6473,60715,51343,0.14,1183,3066,1343,8562,59244,46676,8562,2107,598,0.09,746,72673,24540,0.08,705,52426,11624,0.73,6229,16847,10187,9901,152626,61404
2257,16502,16502,57562,44392,0.74,12150,61300,51162,0.15,2443,2579,1299,16502,59953,46248,16502,2338,619,0.10,1618,86588,32490,0.09,1543,65367,13545,0.72,11923,17378,10300,19070,155840,64021
2258,3241,3241,62970,48875,0.81,2631,62722,53439,0.14,468,1250,331,3241,65378,51009,3241,2396,715,0.08,273,104471,30000,0.08,251,75293,16014,0.76,2462,19177,11585,3696,159242,66588
2259,34072,34072,54849,46258,0.82,27832,58002,51306,0.11,3721,858,-143,34072,57167,48318,34072,2258,778,0.08,2630,74899,31434,0.07,2501,55378,15610,0.76,25906,14684,9920,38043,107495,48889
2260,15967,15967,71288,49700,0.76,12088,68648,53965,0.18,2819,1084,709,15967,74461,52085,15967,3089,849,0.11,1748,138735,39560,0.11,1681,94051,16901,0.76,12164,23565,12751,17679,201482,74918
2261,32822,32822,55313,46856,0.80,26417,57916,51556,0.11,3714,1486,401,32822,57790,49044,32822,2444,893,0.09,2800,97257,33406,0.08,2685,74607,15373,0.77,25147,14670,9869,36906,121423,56263
2262,10513,10513,50706,45255,0.84,8804,53689,49058,0.08,845,1155,-3,10513,52864,47136,10513,2139,780,0.07,742,65790,32998,0.07,722,45344,15561,0.77,8066,12261,8666,12080,86968,40768
2263,11796,11796,49874,43482,0.79,9311,52974,47974,0.10,1163,2659,153,11796,51960,45094,11796,2052,685,0.08,957,82576,33149,0.08,918,61200,14716,0.74,8702,12581,8488,13541,103116,43003
2264,8240,8240,53616,43238,0.76,6281,57673,50118,0.13,1033,2282,943,8240,56038,45130,8240,2347,674,0.08,665,74554,29079,0.08,626,55135,11988,0.72,5954,15108,9806,9393,138892,56288
2265,3856,3856,55734,46366,0.82,3153,58827,52543,0.13,497,721,525,3856,58304,48868,3856,2506,776,0.09,355,94361,30940,0.09,344,75503,14604,0.75,2881,15412,10962,4310,119088,55599
